router	concierge-config	1	Skill:concierge-config,Bash,
norouter	concierge-config	1	Skill:concierge-config,Bash,Bash,
router	concierge-config	1	Skill:concierge-config,Bash,mem_search,
norouter	concierge-config	1	Skill:concierge-config,Bash,ToolSearch,Bash,ToolSearch,
router	ship-pr	0	Bash,
norouter	ship-pr	1	Skill:ship-pr,Bash,Bash,
router	ship-pr	0	Bash,
norouter	ship-pr	1	Skill:ship-pr,Bash,
router	merchant-data	1	Skill:merchant-data,ToolSearch,Bash,ToolSearch,Bash,
norouter	merchant-data	1	Skill:merchant-data,Bash,ToolSearch,ToolSearch,
router	merchant-data	0	NOTOOLS
norouter	merchant-data	1	Skill:merchant-data,Bash,ToolSearch,
router	verify-fix	0	NOTOOLS
norouter	verify-fix	1	Skill:verify-fix,Bash,mem_search,
router	verify-fix	0	Bash,
norouter	verify-fix	1	Skill:verify-fix,Bash,mem_search,ToolSearch,
router	product-brief	1	Skill:product-brief,Bash,
norouter	product-brief	1	Skill:product-brief,Bash,
router	product-brief	1	Skill:product-brief,mem_search,Bash,Bash,
norouter	product-brief	1	Skill:product-brief,mem_search,Bash,ToolSearch,Bash,
router	concierge-config	1	Skill:concierge-config,Bash,Bash,
norouter	concierge-config	1	Skill:concierge-config,Bash,
router	concierge-config	1	Skill:concierge-config,Bash,
norouter	concierge-config	1	Skill:concierge-config,mem_search,Bash,
router	ship-pr	1	Skill:ship-pr,Bash,Bash,
norouter	ship-pr	1	Skill:ship-pr,Bash,Bash,
router	ship-pr	1	Skill:ship-pr,Bash,
norouter	ship-pr	1	Bash,Skill:ship-pr,Bash,
router	merchant-data	0	NOTOOLS
norouter	merchant-data	1	Skill:merchant-data,ToolSearch,ToolSearch,
router	merchant-data	1	Skill:merchant-data,ToolSearch,mem_search,ToolSearch,Bash,
norouter	merchant-data	1	Skill:merchant-data,Bash,ToolSearch,
router	verify-fix	0	NOTOOLS
norouter	verify-fix	1	Skill:verify-fix,Bash,mem_search,
router	verify-fix	0	Bash,mem_search,
norouter	verify-fix	1	Skill:verify-fix,Bash,mem_search,ToolSearch,
router	product-brief	1	Skill:product-brief,mem_search,Bash,
norouter	product-brief	1	Skill:product-brief,mem_search,Bash,
router	product-brief	1	Skill:product-brief,Bash,ToolSearch,
norouter	product-brief	1	Skill:product-brief,mem_search,Bash,
